productId;itemName;action;field;oldValue;newValue;oldSku;oldLocation;oldQuantity;oldPrice;oldLength;oldWidth;oldHeight;oldVolume;oldWeight
1623;THE HEAT COMPANY Insole Foot Warmers 10 Pair Size S  3-5;DELETED;;;;D433-V;D433;1;;;;;;
1622;MONASAY Samsung Galaxy S23 Ultra with Screen Protector Black;DELETED;;;;F530-X;F530;1;;;;;;
1621;THE HEAT COMPANY Insole Foot Warmers 10 Pair Size M  5.5-7;DELETED;;;;D224-Y;D224;1;;;;;;
1616;Sony MDR-ZX310 On-Ear Overhead Wired Headphones Swivel Fold Blue;DELETED;;;;D579-S;D579;1;;;;;;
1615;USB Double-Sided Heated Gloves Winter Warm Gloves Hands Warmer Knitted Mittens;DELETED;;;;A215W-M;A215;1;;;;;;
1614;HYDONG Colour Changing Light Bulb B22 10W RGB+W LED BR18-SH4Q;DELETED;;;;W280-H;W280;1;;;;;;
1612;BEZ Case for Samsung A54 Cover and Screen Protector Orange;DELETED;;;;E340-K;E340;1;;;;;;
1611;Caseology Magnetic Case Compatible with iPhone 15 Pro Max Grape Purple ACS06620;DELETED;;;;F230-T;F230;1;;;;;;
1610;Caseology for iPhone 15 Pro Parallax Mag with MagSafe Matte Black ACS06749;DELETED;;;;N31-R;N31;1;;;;;;
1608;Mscien 3M Extension Lead With Switches 5 Way Surge Protected Extension Lead;DELETED;;;;Q42-V;Q42;1;;;;;;
1607;EVARY 6000mAh Replacement Battery for Dyson V8 21.6V;DELETED;;;;O59-H;O59;1;;;;;;
1605;LEOP Ultrasonic Pest Repeller Mosquito Repellent Plug Electronic Night Light;DELETED;;;;A240-B;A240;1;;;;;;
1601;SURITCH for iPad 10.9 Case Built-in Screen Protector (Black);DELETED;;;;M309-X;M309;1;;;;;;
1599;Sony MDR-ZX310 On-Ear Overhead Wired Headphones Swivel Fold Black;DELETED;;;;C680-R;C680;1;;;;;;
1598;LED Exchange 30W Hi-Bay Bulb E27 3000K Class A++;DELETED;;;;C272-V;C272;1;;;;;;
1597;Cxyemt G9 LED Bulbs 3W 350Lm 6000K Cool White Non Dimmable Pack of 5;DELETED;;;;D247-K;D247;1;;;;;;
1596;BEZ Case For Samsung Galaxy A70 Navy;DELETED;;;;F340-I;F340;1;;;;;;
1593;BEZ Case For Samsung Galaxy A70 Grey;DELETED;;;;F340-P;F340;1;;;;;;
1592;Caseology for iPhone 15 Pro Capella Mag Kickstand MagSafe Clear White ACS06757;DELETED;;;;N40-M;N40;1;;;;;;
1589;Phomemo Label Maker Machine Q31 Portable Bluetooth Label Printer Pink;DELETED;;;;C633-Q;C633;1;;;;;;
1587;Signstek Log Burner Fan Stove Fan Wood Burning 4 Blades ST-145;DELETED;;;;M243-Z;M243;1;;;;;;
1580;Waitley Replacement Battery 18V 5000 mAh Li-ion Battery for Milwaukee 48-11-1850;DELETED;;;;O56-Y;O56;1;;;;;;
1577;Aphqua CarPlay Android Auto 7" Touchscreen with Strong Bluetooth Voice Control;DELETED;;;;A350-E;A350;1;;;;;;
1573;Beetles Nail Rhinestone Glue Gel Kit;DELETED;;;;D308-J;D308;1;;;;;;
1569;Beyond Replacement Battery for Lenoov 45N1164 45N1165 45N1166 45N1167;DELETED;;;;A225-N;A225;1;;;;;;
1568;Battery for Acer Aspire 3100 5110 5515 5610 5650 BATBL50L4 BATBL50L6 BATCL50L6;DELETED;;;;A321-I;A321;1;;;;;;
1566;Elastoplast Plasters -Fabric - 40 (Assorted)-PACK OF 2;DELETED;;;;E351-O;E351;1;;;;;;
1565;GOODVISH 3 in 1 Designed for iPhone 15 Case PineGreen;DELETED;;;;F523-D;F523;1;;;;;;
1564;SUPCASE Unicorn Beetle Case for MacBook Pro 16.2 Inch;DELETED;;;;M308-Z;M308;1;;;;;;
1562;Linkind E27 LED Bulb 7.2W 806LM 5000K Daylight No Dimable Pack of 6;DELETED;;;;Y104-M;Y104;1;;;;;;
1560;GOODVISH 3 in 1 Designed for iPhone 15 Case Grass Green;DELETED;;;;F546-M;F546;1;;;;;;
